PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,PIE,NET_RATING,TS_PCT,VALUE_SCORE,AGE_ADJ,VALUE_SCORE_ADJ,MARKET_VALUE_M,SALARY_M,SURPLUS_VALUE_M
Jalen Duren,DET,21.0,78,26.1,11.8,10.3,2.7,0.14,1.5,0.705404112864658,80.4,5,85.4,43.55,4.54,39.01
Jalen Williams,OKC,24.0,69,32.4,21.6,5.3,5.1,0.138,10.2,0.574712643678161,82.8,3,85.8,43.76,4.78,38.98
Alperen Sengun,HOU,22.0,76,31.5,19.1,10.3,4.9,0.153,7.6,0.5468392120934494,81.2,5,86.2,43.96,5.42,38.54
Ty Jerome,CLE,27.0,70,19.9,12.5,2.5,3.4,0.134,9.9,0.6427396133278486,79.0,0,79.0,40.29,2.56,37.73
Dereck Lively II,DAL,21.0,36,23.1,8.7,7.5,2.4,0.124,7.7,0.7038834951456311,76.8,5,81.8,41.72,5.01,36.71
Evan Mobley,CLE,24.0,71,30.5,18.5,9.3,3.2,0.151,11.9,0.6295943370541791,90.2,3,93.2,47.53,11.23,36.3
Jaylin Williams,OKC,23.0,47,16.7,5.9,5.6,2.6,0.124,17.9,0.5942788074133762,71.3,3,74.3,37.89,2.02,35.87
Jalen Johnson,ATL,23.0,36,35.7,18.9,10.0,5.0,0.135,1.6,0.5679086538461537,75.7,3,78.7,40.14,4.51,35.63
Franz Wagner,ORL,23.0,60,33.7,24.2,5.7,4.7,0.153,6.0,0.5579122095167834,80.3,3,83.3,42.48,7.01,35.47
Amen Thompson,HOU,22.0,69,32.3,14.1,8.2,3.8,0.129,6.3,0.6033892502567614,79.7,5,84.7,43.2,9.25,33.95
Ivica Zubac,LAC,28.0,80,32.8,16.8,12.6,2.7,0.157,9.4,0.6402439024390244,89.4,0,89.4,45.59,11.74,33.85
Mark Williams,CHA,23.0,44,26.6,15.3,10.2,2.5,0.156,-12.7,0.6467703753804532,71.2,3,74.2,37.84,4.09,33.75
Santi Aldama,MEM,24.0,65,25.5,12.5,6.4,2.9,0.121,3.5,0.588733986435569,70.1,3,73.1,37.28,3.96,33.32
Christian Braun,DEN,24.0,79,33.9,15.4,5.2,2.6,0.096,8.2,0.6644804970659303,68.2,3,71.2,36.31,3.09,33.22
Victor Wembanyama,SAS,21.0,46,33.2,24.3,11.0,3.7,0.168,2.6,0.5954714761811409,85.0,5,90.0,45.9,12.77,33.13
Luke Kornet,BOS,29.0,73,18.6,6.0,5.3,1.6,0.114,14.9,0.6861848124428179,70.7,-2,68.7,35.04,2.09,32.95
Brandin Podziemski,GSW,22.0,64,26.8,11.7,5.1,3.4,0.114,6.6,0.5592734225621414,65.5,5,70.5,35.96,3.52,32.44
Payton Pritchard,BOS,27.0,80,28.4,14.3,3.8,3.5,0.116,9.5,0.6336405529953917,75.4,0,75.4,38.45,6.7,31.75
Walker Kessler,UTA,23.0,58,30.0,11.1,12.2,1.7,0.127,-9.1,0.6651486097794821,64.4,3,67.4,34.37,2.97,31.4
Tari Eason,HOU,24.0,57,24.9,12.0,6.4,1.5,0.117,5.6,0.5664652567975831,65.8,3,68.8,35.09,3.7,31.39
