PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,EFG_PCT,TS_PCT,USG_PCT,NET_RATING,OFF_RATING,DEF_RATING,PIE,PLAYER_HEIGHT,PLAYER_WEIGHT,AGE,SALARY,SALARY_M,PER_APPROX,BPM_APPROX,VORP_APPROX,WIN_SHARES_APPROX,AGE_CURVE_FACTOR,PROJECTED_VALUE,VALUE_SCORE,AGE_ADJ,VALUE_SCORE_ADJ,CAP_PCT,SALARY_TIER,MARKET_VALUE_M,SALARY_SURPLUS_M,CONTRACT_VALUE_RATIO,PLAY_STYLE,PLAY_STYLE_CN,OFFENSIVE_ROLE,DEFENSIVE_ROLE,POSITIONS,POSITION_FLEX,FIT_VERSATILITY_SCORE,PERF_SCORE_NORM,CONTRACT_SCORE_NORM,FIT_SCORE_NORM,TRADE_VALUE,TRADE_VALUE_TIER,SURPLUS_VALUE_M,CONTRACT_TYPE,CONTRACT_TYPE_CN,YEARS_REMAINING,TOTAL_CONTRACT_VALUE,TRADE_RESTRICTIONS,TRADE_KICKER_LIKELY,EXTENSION_ELIGIBLE,CONTRACT_FLEXIBILITY,SALARY_MATCH_MIN,SALARY_MATCH_MAX
1631105,Jalen Duren,DET,44,27.7,17.7,10.4,1.8,0.9,0.8,0.631,0.0,0.737,0.6330275229357798,0.6688331318016929,0.221,11.0,119.1,108.1,0.168,6-10,250.0,22.0,6483144.0,6.48,24.24,7.61,2.98,5.0,0.89,21.57,90.3,5,95.3,4.24,ROLE_PLAYER,45.83,39.35,7.07,ROLE_PLAYER,角色球員型,FINISHER,REBOUNDER,PF/SF,2,64.2,97.6,100.0,57.4,88.1,UNTOUCHABLE,39.35,ROOKIE_EXT,新秀延長,4,25.92,ROOKIE_EXT_WAIT,False,NOT_YET_ELIGIBLE,50.0,0.0,13.21
1641705,Victor Wembanyama,SAS,38,29.0,23.9,11.1,2.7,0.9,2.7,0.507,0.36,0.81,0.5617283950617284,0.6184019871662182,0.314,11.9,117.1,105.2,0.198,7-4,235.0,22.0,13376880.0,13.38,27.6,11.02,3.65,5.15,0.89,24.56,92.6,5,97.6,8.75,MID_LEVEL,48.36,34.98,3.61,RIM_PROTECTOR,護框中鋒型,SECONDARY_SCORER,RIM_PROTECTOR,C/PF,2,73.7,100.0,71.9,71.0,85.7,UNTOUCHABLE,34.98,ROOKIE_EXT,新秀延長,4,53.52,ROOKIE_EXT_WAIT,False,NOT_YET_ELIGIBLE,40.0,0.0,20.88
1641708,Amen Thompson,HOU,51,37.2,17.7,7.6,5.4,1.4,0.6,0.504,0.207,0.783,0.5185185185185185,0.5668716372021522,0.198,7.6,117.1,109.4,0.123,6-7,200.0,23.0,9690600.0,9.69,23.01,5.34,3.54,7.39,0.93,21.4,82.0,3,85.0,6.33,ROLE_PLAYER,35.0,25.31,3.61,ROLE_PLAYER,角色球員型,SECONDARY_PLAYMAKER,VERSATILE_DEFENDER,SF/SG,2,88.4,87.1,71.9,92.0,84.5,FRANCHISE,25.31,ROOKIE_EXT,新秀延長,4,38.76,ROOKIE_EXT_WAIT,False,NOT_YET_ELIGIBLE,50.0,0.0,17.19
1629645,Kevin Porter Jr.,MIL,26,33.6,17.5,5.1,7.5,2.2,0.4,0.453,0.325,0.865,0.511029411764706,0.5648076426542732,0.239,-3.6,112.5,116.1,0.128,6-5,203.0,25.0,5134000.0,5.13,22.54,2.84,1.07,3.34,0.98,22.09,75.9,0,75.9,3.35,ROLE_PLAYER,25.9,20.77,5.05,PLAYMAKER,組織者型,PRIMARY_PLAYMAKER,PERIMETER_STOPPER,PG/SG,2,80.7,77.7,100.0,81.0,84.1,FRANCHISE,20.77,ROLE_PLAYER,角色球員,2,10.26,NONE,False,EXTENSION_ELIGIBLE,75.0,0.0,10.51
1631109,Mark Williams,PHX,49,24.2,12.2,8.2,1.1,1.0,1.0,0.664,1.0,0.77,0.6621621621621622,0.6960292104062071,0.166,2.1,114.5,112.4,0.146,7-1,240.0,24.0,6276531.0,6.28,20.24,4.5,1.96,4.07,0.96,19.43,79.8,3,82.8,4.1,ROLE_PLAYER,32.8,26.52,5.22,STRETCH_BIG,空間型大個子,FLOOR_SPACER,REBOUNDER,C/PF,2,56.0,84.8,100.0,45.6,78.8,FRANCHISE,26.52,ROOKIE_EXT,新秀延長,4,25.12,ROOKIE_EXT_WAIT,False,NOT_YET_ELIGIBLE,50.0,0.0,12.81
1642273,Kyshawn George,WAS,42,30.3,15.1,5.5,4.9,1.1,0.9,0.444,0.379,0.782,0.532520325203252,0.5615888128533174,0.218,-10.3,108.5,118.8,0.09,6-8,200.0,22.0,2966760.0,2.97,18.73,-1.07,0.3,4.04,0.89,16.67,56.0,5,61.0,1.94,MINIMUM_PLUS,14.6,11.63,4.92,TWO_WAY_WING,雙向側翼型,SECONDARY_PLAYMAKER,VERSATILE_DEFENDER,SF/SG,2,88.2,62.4,98.4,91.7,78.7,FRANCHISE,11.63,ROOKIE_SCALE,新秀合約,1,2.97,NONE,False,ROOKIE_EXTENSION_ELIGIBLE,95.0,0.0,6.19
1630552,Jalen Johnson,ATL,49,35.7,23.4,10.6,8.2,1.3,0.5,0.502,0.355,0.777,0.5520231213872832,0.5919854280510018,0.264,0.4,114.6,114.3,0.163,6-8,219.0,24.0,30000000.0,30.0,29.72,5.54,3.35,8.81,0.96,28.53,92.7,3,95.7,19.61,MAX,46.27,16.27,1.54,FLOOR_GENERAL,地板指揮官型,PRIMARY_PLAYMAKER,VERSATILE_DEFENDER,SF/SG,2,84.8,98.0,30.0,86.8,78.2,FRANCHISE,16.27,HIGH_VALUE,高薪,3,90.0,NONE,False,NOT_YET_ELIGIBLE,40.0,0.0,37.75
1629674,Neemias Queta,BOS,50,25.3,9.8,8.3,1.5,0.9,1.3,0.635,0.0,0.67,0.6307692307692307,0.6561328334226032,0.146,11.7,117.1,105.4,0.124,7-0,248.0,26.0,2349578.0,2.35,19.34,6.64,2.78,4.14,1.0,19.34,77.1,0,77.1,1.54,MINIMUM_PLUS,27.1,24.75,11.53,ROLE_PLAYER,角色球員型,FINISHER,REBOUNDER,C/PF,2,60.6,79.0,100.0,52.2,77.6,FRANCHISE,24.75,MINIMUM,底薪,1,2.35,NONE,False,EXTENSION_ELIGIBLE,95.0,0.0,4.95
1630567,Scottie Barnes,TOR,53,34.5,19.4,8.4,5.6,1.3,1.6,0.506,0.306,0.814,0.5366666666666666,0.5772435134491788,0.232,3.8,113.4,109.6,0.142,6-8,237.0,24.0,38661750.0,38.66,25.64,6.22,3.82,7.94,0.96,24.61,88.7,3,91.7,25.27,MAX,41.87,3.21,1.08,PLAYMAKER,組織者型,SECONDARY_SCORER,VERSATILE_DEFENDER,SF/SG,2,94.0,93.9,20.6,100.0,77.1,FRANCHISE,3.21,NEAR_MAX,準頂薪,3,115.98,DIFFICULT_TO_MATCH,True,NOT_YET_ELIGIBLE,15.0,0.0,48.57
1641718,Keyonte George,UTA,48,33.9,23.8,3.9,6.5,1.1,0.3,0.458,0.375,0.894,0.5368098159509203,0.6126441515650741,0.271,-8.8,115.3,124.2,0.121,6-4,185.0,22.0,4278960.0,4.28,21.21,0.89,1.19,5.85,0.89,18.88,76.0,5,81.0,2.8,MINIMUM_PLUS,31.0,26.72,7.24,SCORING_GUARD,得分後衛型,SECONDARY_SCORER,LIMITED_DEFENDER,PG/SG,2,53.8,83.0,100.0,42.5,77.1,FRANCHISE,26.72,ROOKIE_SCALE,新秀合約,1,4.28,NONE,False,ROOKIE_EXTENSION_ELIGIBLE,95.0,0.0,8.81
