PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,STL,BLK,PIE,TS_PCT,NET_RATING,PER_APPROX,BPM_APPROX,VORP_APPROX,WIN_SHARES_APPROX,VALUE_SCORE,AGE_ADJ,VALUE_SCORE_ADJ,SALARY_M,CAP_PCT,SALARY_TIER,MARKET_VALUE_M,SURPLUS_VALUE_M,PLAY_STYLE,PLAY_STYLE_CN,OFFENSIVE_ROLE,DEFENSIVE_ROLE,POSITIONS,POSITION_FLEX,FIT_VERSATILITY_SCORE,CONTRACT_TYPE,CONTRACT_TYPE_CN,YEARS_REMAINING,CONTRACT_FLEXIBILITY,TRADE_RESTRICTIONS,TRADE_VALUE,TRADE_VALUE_TIER
Jalen Duren,DET,22.0,44,27.7,17.7,10.4,1.8,0.9,0.8,0.168,0.6688331318016929,11.0,24.24,7.61,2.98,5.0,90.3,5,95.3,6.48,4.24,ROLE_PLAYER,45.83,39.35,ROLE_PLAYER,角色球員型,FINISHER,REBOUNDER,PF/SF,2,64.2,ROOKIE_EXT,新秀延長,4,50.0,ROOKIE_EXT_WAIT,88.1,UNTOUCHABLE
Victor Wembanyama,SAS,22.0,38,29.0,23.9,11.1,2.7,0.9,2.7,0.198,0.6184019871662182,11.9,27.6,11.02,3.65,5.15,92.6,5,97.6,13.38,8.75,MID_LEVEL,48.36,34.98,RIM_PROTECTOR,護框中鋒型,SECONDARY_SCORER,RIM_PROTECTOR,C/PF,2,73.7,ROOKIE_EXT,新秀延長,4,40.0,ROOKIE_EXT_WAIT,85.7,UNTOUCHABLE
Amen Thompson,HOU,23.0,51,37.2,17.7,7.6,5.4,1.4,0.6,0.123,0.5668716372021522,7.6,23.01,5.34,3.54,7.39,82.0,3,85.0,9.69,6.33,ROLE_PLAYER,35.0,25.31,ROLE_PLAYER,角色球員型,SECONDARY_PLAYMAKER,VERSATILE_DEFENDER,SF/SG,2,88.4,ROOKIE_EXT,新秀延長,4,50.0,ROOKIE_EXT_WAIT,84.5,FRANCHISE
Kevin Porter Jr.,MIL,25.0,26,33.6,17.5,5.1,7.5,2.2,0.4,0.128,0.5648076426542732,-3.6,22.54,2.84,1.07,3.34,75.9,0,75.9,5.13,3.35,ROLE_PLAYER,25.9,20.77,PLAYMAKER,組織者型,PRIMARY_PLAYMAKER,PERIMETER_STOPPER,PG/SG,2,80.7,ROLE_PLAYER,角色球員,2,75.0,NONE,84.1,FRANCHISE
Mark Williams,PHX,24.0,49,24.2,12.2,8.2,1.1,1.0,1.0,0.146,0.6960292104062071,2.1,20.24,4.5,1.96,4.07,79.8,3,82.8,6.28,4.1,ROLE_PLAYER,32.8,26.52,STRETCH_BIG,空間型大個子,FLOOR_SPACER,REBOUNDER,C/PF,2,56.0,ROOKIE_EXT,新秀延長,4,50.0,ROOKIE_EXT_WAIT,78.8,FRANCHISE
Kyshawn George,WAS,22.0,42,30.3,15.1,5.5,4.9,1.1,0.9,0.09,0.5615888128533174,-10.3,18.73,-1.07,0.3,4.04,56.0,5,61.0,2.97,1.94,MINIMUM_PLUS,14.6,11.63,TWO_WAY_WING,雙向側翼型,SECONDARY_PLAYMAKER,VERSATILE_DEFENDER,SF/SG,2,88.2,ROOKIE_SCALE,新秀合約,1,95.0,NONE,78.7,FRANCHISE
Jalen Johnson,ATL,24.0,49,35.7,23.4,10.6,8.2,1.3,0.5,0.163,0.5919854280510018,0.4,29.72,5.54,3.35,8.81,92.7,3,95.7,30.0,19.61,MAX,46.27,16.27,FLOOR_GENERAL,地板指揮官型,PRIMARY_PLAYMAKER,VERSATILE_DEFENDER,SF/SG,2,84.8,HIGH_VALUE,高薪,3,40.0,NONE,78.2,FRANCHISE
Neemias Queta,BOS,26.0,50,25.3,9.8,8.3,1.5,0.9,1.3,0.124,0.6561328334226032,11.7,19.34,6.64,2.78,4.14,77.1,0,77.1,2.35,1.54,MINIMUM_PLUS,27.1,24.75,ROLE_PLAYER,角色球員型,FINISHER,REBOUNDER,C/PF,2,60.6,MINIMUM,底薪,1,95.0,NONE,77.6,FRANCHISE
Scottie Barnes,TOR,24.0,53,34.5,19.4,8.4,5.6,1.3,1.6,0.142,0.5772435134491788,3.8,25.64,6.22,3.82,7.94,88.7,3,91.7,38.66,25.27,MAX,41.87,3.21,PLAYMAKER,組織者型,SECONDARY_SCORER,VERSATILE_DEFENDER,SF/SG,2,94.0,NEAR_MAX,準頂薪,3,15.0,DIFFICULT_TO_MATCH,77.1,FRANCHISE
Keyonte George,UTA,22.0,48,33.9,23.8,3.9,6.5,1.1,0.3,0.121,0.6126441515650741,-8.8,21.21,0.89,1.19,5.85,76.0,5,81.0,4.28,2.8,MINIMUM_PLUS,31.0,26.72,SCORING_GUARD,得分後衛型,SECONDARY_SCORER,LIMITED_DEFENDER,PG/SG,2,53.8,ROOKIE_SCALE,新秀合約,1,95.0,NONE,77.1,FRANCHISE
