PLAYER_NAME,TEAM,SALARY,SALARY_M
Stephen Curry ,Golden State Warriors,59606817,59.61
Nikola Jokic ,Denver Nuggets,55224526,55.22
Joel Embiid ,Philadelphia 76ers,55224526,55.22
Kevin Durant ,Houston Rockets,54708609,54.71
Luka Doncic ,Los Angeles Lakers,54126450,54.13
Jayson Tatum ,Boston Celtics,54126450,54.13
Jimmy Butler III ,Golden State Warriors,54126450,54.13
Anthony Davis ,Dallas Mavericks,54126450,54.13
Giannis Antetokounmpo ,Milwaukee Bucks,54126450,54.13
Karl-Anthony Towns ,New York Knicks,54126450,54.13
Devin Booker ,Phoenix Suns,53142264,53.14
Jaylen Brown ,Boston Celtics,53142264,53.14
LeBron James ,Los Angeles Lakers,52627153,52.63
Paul George ,Philadelphia 76ers,51666090,51.67
Kawhi Leonard ,LA Clippers,50000000,50.0
Zach LaVine ,Sacramento Kings,47499660,47.5
Trae Young ,Atlanta Hawks,46394100,46.39
Lauri Markkanen ,Utah Jazz,46394100,46.39
Jamal Murray ,Denver Nuggets,46394100,46.39
Evan Mobley ,Cleveland Cavaliers,46394100,46.39
Donovan Mitchell ,Cleveland Cavaliers,46394100,46.39
Cade Cunningham ,Detroit Pistons,46394100,46.39
Anthony Edwards ,Minnesota Timberwolves,45550512,45.55
Tyrese Haliburton ,Indiana Pacers,45550512,45.55
Pascal Siakam ,Indiana Pacers,45550512,45.55
Domantas Sabonis ,Sacramento Kings,43636000,43.64
OG Anunoby ,New York Knicks,39568966,39.57
James Harden ,Cleveland Cavaliers,39446090,39.45
Zion Williamson ,New Orleans Pelicans,39446090,39.45
Darius Garland ,Cleveland Cavaliers,39446090,39.45
Ja Morant ,Memphis Grizzlies,39446090,39.45
Scottie Barnes ,Toronto Raptors,38661750,38.66
Franz Wagner ,Orlando Magic,38661750,38.66
Shai Gilgeous-Alexander ,Oklahoma City Thunder,38333050,38.33
Michael Porter Jr. ,Brooklyn Nets,38333050,38.33
Brandon Ingram ,Toronto Raptors,38095238,38.1
LaMelo Ball ,Charlotte Hornets,37958760,37.96
Tyrese Maxey ,Philadelphia 76ers,37958760,37.96
De'Aaron Fox ,San Antonio Spurs,37096620,37.1
Bam Adebayo ,Miami Heat,37096620,37.1
Desmond Bane ,Orlando Magic,36725670,36.73
Kyrie Irving ,Dallas Mavericks,36566002,36.57
Rudy Gobert ,Minnesota Timberwolves,35000000,35.0
Jalen Suggs ,Orlando Magic,35000000,35.0
Jaren Jackson Jr. ,Utah Jazz,35000000,35.0
Jalen Brunson ,New York Knicks,34944001,34.94
Alperen Sengun ,Houston Rockets,33944954,33.94
Khris Middleton ,Washington Wizards,33926296,33.93
Jalen Green ,Phoenix Suns,33548499,33.55
Immanuel Quickley ,Toronto Raptors,32500000,32.5
Jrue Holiday ,Portland Trail Blazers,32400000,32.4
Jerami Grant ,Portland Trail Blazers,32000000,32.0
Jordan Poole ,New Orleans Pelicans,31848215,31.85
Tyler Herro ,Miami Heat,31000000,31.0
Julius Randle ,Minnesota Timberwolves,30864198,30.86
Dejounte Murray ,New Orleans Pelicans,30801103,30.8
Kristaps Porzingis ,Atlanta Hawks,30731707,30.73
CJ McCollum ,Atlanta Hawks,30666666,30.67
Jalen Johnson ,Atlanta Hawks,30000000,30.0
Isaiah Hartenstein ,Oklahoma City Thunder,28500000,28.5
Andrew Wiggins ,Miami Heat,28223214,28.22
Derrick White ,Boston Celtics,28100001,28.1
RJ Barrett ,Toronto Raptors,27705357,27.71
Anfernee Simons ,Chicago Bulls,27678571,27.68
Devin Vassell ,San Antonio Spurs,27000000,27.0
Terry Rozier ,Miami Heat,26643031,26.64
Tobias Harris ,Detroit Pistons,26634146,26.63
John Collins ,LA Clippers,26580000,26.58
Draymond Green ,Golden State Warriors,25892857,25.89
